hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458128.7382,be,V,14.029,0.02414,9.384,0.208
2457913.671,be,V,12.51,0.02,38.005,0.699
2457429.79216,be,V,13.267,0.02214,18.929,0.386
2458188.79769,be,V,13.629,0.02205,13.56,0.275
2458165.83025,be,V,14.082,0.02458,8.935,0.202
2458122.77495,be,V,13.97,0.02369,9.906,0.216
2458208.75797,be,V,13.124,0.02276,21.601,0.452
2457777.83788,be,V,13.738,0.0224,12.268,0.253
2457743.82588,be,V,12.948,0.02,25.403,0.467
2458190.82986,be,V,13.545,0.0219,14.655,0.295
2458106.8011,be,V,13.748,0.02244,12.156,0.251
2457774.78691,be,V,13.656,0.02212,13.231,0.269
2457755.75632,be,V,13.262,0.02215,19.017,0.388
2457479.67454,be,V,14.101,0.02476,8.78,0.2
2458220.79404,be,V,12.951,0.02,25.312,0.466
2458180.8728,be,V,13.884,0.02312,10.723,0.228
2458142.73206,be,V,14.127,0.025,8.574,0.197
2457833.81671,be,V,14.147,0.02519,8.417,0.195
2457838.54743,be,V,14.141,0.02513,8.46,0.196
2457458.8995,be,V,13.919,0.02334,10.381,0.223
2457889.74319,be,V,12.93,0.02,25.812,0.475
2457872.63968,be,V,13.545,0.0219,14.653,0.295
2457845.53642,be,V,14.086,0.02462,8.9,0.202
2457765.73083,be,V,13.538,0.02189,14.743,0.297
2458193.78969,be,V,13.488,0.02185,15.443,0.31
2458216.65106,be,V,13.007,0.02355,24.048,0.521
2458205.70385,be,V,13.183,0.02246,20.448,0.422
2458196.80557,be,V,13.415,0.02186,16.509,0.332
2458195.83722,be,V,13.448,0.02185,16.025,0.322
2458117.76419,be,V,13.925,0.02338,10.327,0.222
2457877.63547,be,V,13.374,0.0219,17.156,0.346
2457714.85014,be,V,11.952,0.02,63.543,1.169
2458141.74024,be,V,14.102,0.02476,8.775,0.2
2457825.76176,be,V,14.159,0.02531,8.325,0.194
2458243.73371,be,V,12.563,0.02,36.205,0.666
2458207.69875,be,V,13.151,0.02261,21.054,0.438
2458230.79468,be,V,12.829,0.02,28.33,0.521
2457880.69188,be,V,13.27,0.02213,18.87,0.384
2457917.66397,be,V,12.429,0.02,40.939,0.753
2458201.56679,be,V,13.286,0.02208,18.608,0.378
2457802.67837,be,V,14.053,0.02433,9.177,0.205
2457790.66173,be,V,13.935,0.02344,10.231,0.221
2457486.74443,be,V,14.178,0.0255,8.177,0.192
2458161.74172,be,V,14.104,0.02478,8.752,0.2
2457839.57785,be,V,14.136,0.02508,8.499,0.196
2458236.59015,be,V,12.736,0.02,30.881,0.568
2457938.60826,be,V,11.695,0.02,80.553,1.482
2457862.76341,be,V,13.829,0.02281,11.279,0.237
2458140.74834,be,V,14.122,0.02495,8.612,0.198
2457903.7023,be,V,12.61,0.02,34.659,0.638
2458145.71185,be,V,14.13,0.02503,8.55,0.197
2457808.78304,be,V,14.075,0.02452,8.99,0.203
2457934.56559,be,V,11.962,0.02,62.946,1.158
2458150.69565,be,V,14.086,0.02462,8.901,0.202
2458110.80633,be,V,13.843,0.02289,11.139,0.235
2458085.84637,be,V,13.347,0.02195,17.582,0.355
2458079.85376,be,V,13.16,0.02257,20.885,0.434
2457851.71048,be,V,14.052,0.02433,9.184,0.206
2457831.67178,be,V,14.221,0.02596,7.862,0.188
2457830.69021,be,V,14.203,0.02577,7.993,0.189
2458152.68285,be,V,14.116,0.02489,8.66,0.198
