source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error
1609275081320934016,210.80218253525192,54.34785503937198,,,21.090446,,,
1609275081320938752,210.80347125979895,54.34770252454087,1.2506202476356099,0.2636202,18.913622,0.7184391,,
1609275081320939136,210.80208081253085,54.348260480414694,-1.000240479132285,0.22014694,18.505096,0.8893318,,
1609275081322912000,210.8026210587316,54.349090935996685,,,19.351364,,,
1609275081322912256,210.8022157479205,54.34892220972544,1.8567790809602773,0.67896134,18.395683,1.0253534,,
